Scheme Name,Net Asset Value
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW,12.6607
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,12.6826
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW,14.2006
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW,12.026
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW,12.651
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW,12.5982
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12.5602
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW,12.9462
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option,18.8652
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,96.7788
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,95.5282
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,11.0233
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.4468
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,12.4286
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.3114
Aditya Birla Sun Life Income Fund-Plan A(Dividend),11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend),10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth),35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend),15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth),35.0763
Axis Corporate Debt Fund - Direct Plan - Daily IDCW,10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW,10.2488
Axis Corporate Debt Fund - Direct Plan - Regular IDCW,12.8985
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW,10.3747
Axis Corporate Debt Fund - Direct Plan Growth,15.1986
Axis Corporate Debt Fund - Regular Plan - Daily IDCW,10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW,10.2419
Axis Corporate Debt Fund - Regular Plan - Regular IDCW,12.2770
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW,10.2562
Axis Corporate Debt Fund - Regular Plan Growth,14.5470
BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.2676
BANDHAN Corporate Bond Fund - Direct Growth,16.7889
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.4719
BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.3757
BANDHAN Corporate Bond Fund - Direct Periodic IDCW,11.1385
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.4792
BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.2601
BANDHAN Corporate Bond Fund - Regular Growth,16.4132
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,10.8808
BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.6284
BANDHAN Corporate Bond Fund - Regular Periodic IDCW,11.0646
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.5217
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,10.4891
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,27.1108
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.2266
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.2703
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,10.6534
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,24.7150
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.3041
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.4577
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,10.4263
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,23.4260
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.2586
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.3478
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,19.9261
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.3715
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,18.8537
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.7048
DSP Corporate Bond Fund - Direct - Growth,13.8910
DSP Corporate Bond Fund - Direct - IDCW,11.3423
DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.4785
DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,11.3364
DSP Corporate Bond Fund - Regular - Growth,13.7278
DSP Corporate Bond Fund - Regular - IDCW,11.3189
DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.4594
DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,10.6934
Franklin India Corporate Debt Fund - Direct - Bonus,0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH,90.4956
Franklin India Corporate Debt Fund - Growth,84.5443
Franklin India Corporate Debt Fund - Monthly Bonus,0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,16.3562
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,18.2890
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.6629
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,16.6031
